Lab Test Name,Category Name,Lab / Organization,Turnaround time,Base Price,Discount,Clinic Address,Open Time,Closing Time,Block time,Sunday Hours
MAGNESIUM,Laboratory, Isha Diagnostics,24 hrs,650,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
OSMOLALITY -  URINE,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
OSMOLALITY - SERUM,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
OSMOTIC FRAGILITY TEST,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PHENOBARBOTONE,Laboratory, Isha Diagnostics,24 hrs,1800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PLASMA OSMOLARITY,Laboratory, Isha Diagnostics,24 hrs,900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
POST PRANDIAL BLOOD SUGAR (PPBS),Laboratory, Isha Diagnostics,24 hrs,50,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PRO BNP,Laboratory, Isha Diagnostics,24 hrs,2900,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROTEIN / CREATININE RATIO - URINE (RANDOM),Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROTEIN-C,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PROTEIN-S,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
PSEUDOCHOLINESTERASE,Laboratory, Isha Diagnostics,24 hrs,1200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RANDOM  BLOOD SUGAR (RBS),Laboratory, Isha Diagnostics,24 hrs,50,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RENAL FUNCTION TEST (RFT),Laboratory, Isha Diagnostics,24 hrs,1000,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
RHEUMATOID FACTOR (RA),Laboratory, Isha Diagnostics,24 hrs,350,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM  IGE,Laboratory, Isha Diagnostics,24 hrs,800,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM AMYLASE,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM BILIRUBIN,Laboratory, Isha Diagnostics,24 hrs,350,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM CALCIUM,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM CHLORIDE,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM CREATININE,Laboratory, Isha Diagnostics,24 hrs,250,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM ELECTROLYTES,Laboratory, Isha Diagnostics,24 hrs,500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM GLOBULIN,Laboratory, Isha Diagnostics,24 hrs,200,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM LIGHT CHAINS,Laboratory, Isha Diagnostics,24 hrs,3500,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
SERUM PHOSPHORUS,Laboratory, Isha Diagnostics,24 hrs,600,10%,"Malleshwaram, Bangalore",7:00 Hrs,21:00 Hrs,,
